GEOCODIGO_MUNICIPIO,NOME_MUNICIPIO,LONGITUDE,LATITUDE
1302504,MANACAPURU,"-60,620589","-3,298278"
1302553,MANAQUIRI,"-60,458881","-3,42908"
1302603,MANAUS,"-60,023335","-3,134691"
1302702,MANICORÉ,"-61,299248","-5,813205"
1302801,MARAÃ,"-65,574284","-1,866437"
1302900,MAUÉS,"-57,715034","-3,386428"
1303007,NHAMUNDÁ,"-56,71677","-2,188984"
1303106,NOVA OLINDA DO NORTE,"-59,093074","-3,887593"
1303205,NOVO AIRÃO,"-60,948811","-2,623432"
1303304,NOVO ARIPUANÃ,"-60,377046","-5,122669"
1303403,PARINTINS,"-56,736292","-2,627053"
1303502,PAUINI,"-67,002097","-7,714044"
1303536,PRESIDENTE FIGUEIREDO,"-60,025647","-2,058429"
1303569,RIO PRETO DA EVA,"-59,704738","-2,693302"
1303601,SANTA ISABEL DO RIO NEGRO,"-65,020023","-0,416695"
1303700,SANTO ANTÔNIO DO IÇÁ,"-67,946485","-3,107486"
1303809,SÃO GABRIEL DA CACHOEIRA,"-67,083643","-0,136463"
1303908,SÃO PAULO DE OLIVENÇA,"-68,944853","-3,46651"
1303957,SÃO SEBASTIÃO DO UATUMÃ,"-57,870346","-2,570153"
1304005,SILVES,"-58,214801","-2,836427"
1304062,TABATINGA,"-69,946244","-4,231884"
1304104,TAPAUÁ,"-63,187095","-5,624224"
1304203,TEFÉ,"-64,70842","-3,348372"
1304237,TONANTINS,"-67,776482","-2,861091"
1304260,UARINI,"-65,155346","-2,983609"
1304302,URUCARÁ,"-57,759828","-2,536612"
1304401,URUCURITUBA,"-58,159641","-3,134633"
1400027,AMAJARI,"-61,42059","3,652118"
1400050,ALTO ALEGRE,"-61,314022","2,993823"
1400100,BOA VISTA,"-60,670533","2,816682"
1400159,BONFIM,"-59,878007","3,350289"
1400175,CANTÁ,"-60,602063","2,607666"
1400209,CARACARAÍ,"-61,149177","1,803871"
1400233,CAROEBE,"-59,69481","0,872675"
1400282,IRACEMA,"-61,052259","2,168215"
1400308,MUCAJAÍ,"-60,911519","2,479772"
1400407,NORMANDIA,"-59,635206","3,882978"
1400456,PACARAIMA,"-61,147306","4,475259"
1400472,RORAINÓPOLIS,"-60,42506","0,937195"
1400506,SÃO JOÃO DA BALIZA,"-59,906044","0,947157"
1400605,SÃO LUIZ,"-60,028267","1,018112"
1400704,UIRAMUTÃ,"-60,195716","4,58544"
1500107,ABAETETUBA,"-48,884404","-1,72347"
1500131,ABEL FIGUEIREDO,"-48,396762","-4,951391"
1500206,ACARÁ,"-48,200456","-1,963437"
1500305,AFUÁ,"-50,391428","-0,159172"
1500347,ÁGUA AZUL DO NORTE,"-50,485275","-6,804949"
1500404,ALENQUER,"-54,740862","-1,951398"
1500503,ALMEIRIM,"-52,576835","-1,527339"
1500602,ALTAMIRA,"-52,214376","-3,20566"
1500701,ANAJÁS,"-49,945001","-0,984451"
1500800,ANANINDEUA,"-48,372067","-1,368714"
1500859,ANAPU,"-51,201622","-3,476105"
1500909,AUGUSTO CORRÊA,"-46,641646","-1,022921"
1500958,AURORA DO PARÁ,"-47,556175","-2,129376"
1501006,AVEIRO,"-55,330734","-3,605595"
1501105,BAGRE,"-50,221987","-1,889808"
1501204,BAIÃO,"-49,672753","-2,791962"
1501253,BANNACH,"-50,406047","-7,351072"
1501303,BARCARENA,"-48,627073","-1,505767"
1501402,BELÉM,"-48,487826","-1,459845"
1501451,BELTERRA,"-54,942675","-2,64902"
1501501,BENEVIDES,"-48,241836","-1,361438"
1501576,BOM JESUS DO TOCANTINS,"-48,59904","-5,047363"
1501600,BONITO,"-47,305892","-1,367474"
1501709,BRAGANÇA,"-46,765754","-1,053524"
1501725,BRASIL NOVO,"-52,543441","-3,297804"
1501758,BREJO GRANDE DO ARAGUAIA,"-48,40576","-5,707296"
1501782,BREU BRANCO,"-49,56988","-3,778135"
1501808,BREVES,"-50,480895","-1,690737"
1501907,BUJARU,"-48,035875","-1,513991"
1501956,CACHOEIRA DO PIRIÁ,"-46,547391","-1,752897"
1502004,CACHOEIRA DO ARARI,"-48,960668","-1,008786"
1502103,CAMETÁ,"-49,49783","-2,246838"
1502152,CANAÃ DOS CARAJÁS,"-49,848958","-6,532197"
1502202,CAPANEMA,"-47,175126","-1,192442"
1502301,CAPITÃO POÇO,"-47,062825","-1,746187"
1502400,CASTANHAL,"-47,926643","-1,295757"
1502509,CHAVES,"-49,989319","-0,162437"
1502608,COLARES,"-48,288728","-0,932091"
1502707,CONCEIÇÃO DO ARAGUAIA,"-49,264501","-8,264864"
1502756,CONCÓRDIA DO PARÁ,"-47,949887","-1,984521"
1502764,CUMARU DO NORTE,"-50,771578","-7,811107"
1502772,CURIONÓPOLIS,"-49,602214","-6,09682"
1502806,CURRALINHO,"-49,791523","-1,809423"
1502855,CURUÁ,"-55,119679","-1,889929"
1502905,CURUÇÁ,"-47,851265","-0,732496"
1502939,DOM ELISEU,"-47,555915","-4,290778"
1502954,ELDORADO DOS CARAJÁS,"-49,373952","-6,103525"
1503002,FARO,"-56,745753","-2,172975"
1503044,FLORESTA DO ARAGUAIA,"-49,697578","-7,558701"
1503077,GARRAFÃO DO NORTE,"-47,045046","-1,931697"
1503093,GOIANÉSIA DO PARÁ,"-49,101045","-3,842468"
1503101,GURUPÁ,"-51,643696","-1,404918"
1503200,IGARAPÉ-AÇU,"-47,622375","-1,124322"
1503309,IGARAPÉ-MIRI,"-48,962299","-1,983116"
1503408,INHANGAPI,"-47,913393","-1,426582"
1503457,IPIXUNA DO PARÁ,"-47,499718","-2,557529"
1503507,IRITUIA,"-47,440756","-1,771475"
1503606,ITAITUBA,"-55,990049","-4,263729"
1503705,ITUPIRANGA,"-49,324426","-5,128837"
1503754,JACAREACANGA,"-57,76634","-6,223552"
1503804,JACUNDÁ,"-49,112782","-4,448405"
1503903,JURUTI,"-56,094998","-2,155253"
1504000,LIMOEIRO DO AJURU,"-49,381534","-1,891949"
1504059,MÃE DO RIO,"-47,55229","-2,047707"
1504109,MAGALHÃES BARATA,"-47,599182","-0,79585"
1504208,MARABÁ,"-49,142025","-5,352606"
1504307,MARACANÃ,"-47,455268","-0,762419"
1504406,MARAPANIM,"-47,702549","-0,712151"
1504422,MARITUBA,"-48,340536","-1,346417"
1504455,MEDICILÂNDIA,"-52,888345","-3,445417"
1504505,MELGAÇO,"-50,717465","-1,803447"
1504604,MOCAJUBA,"-49,509023","-2,582873"
1504703,MOJU,"-48,767199","-1,885889"
1504802,MONTE ALEGRE,"-54,073375","-2,003328"
1504901,MUANÁ,"-49,216832","-1,530026"
1504950,NOVA ESPERANÇA DO PIRIÁ,"-46,962093","-2,267626"
1504976,NOVA IPIXUNA,"-49,079887","-4,923086"
1505007,NOVA TIMBOTEUA,"-47,393202","-1,204144"
1505031,NOVO PROGRESSO,"-55,41987","-7,034836"
1505064,NOVO REPARTIMENTO,"-49,948638","-4,248149"
1505106,ÓBIDOS,"-55,516324","-1,909235"
1505205,OEIRAS DO PARÁ,"-49,855106","-2,004734"
1505304,ORIXIMINÁ,"-55,8628","-1,763754"
1505403,OURÉM,"-47,117619","-1,548947"
1505437,OURILÂNDIA DO NORTE,"-51,090833","-6,740617"
1505486,PACAJÁ,"-50,634841","-3,830306"
1505494,PALESTINA DO PARÁ,"-48,321794","-5,749934"
