country,state,city,ibgeID,cod_RegiaoDeSaude,name_RegiaoDeSaude,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,date,newCases,newDeaths,last_info_date,lat,lon
Brazil,SP,Ariranha/SP,3503703,35151,Catanduva,23,925,235.6316,9476.48806,0.02486,MS,2021-07-14,2,0,2021-07-14,-21.18716,-48.790418
Brazil,SP,Artur Nogueira/SP,3503802,35072,Região Metropolitana de Campinas,125,4923,225.8764,8895.91615,0.02539,MS,2021-07-14,37,0,2021-07-14,-22.572737,-47.172679
Brazil,SP,Arujá/SP,3503901,35011,Alto do Tietê,302,7529,331.29655,8259.37668,0.04011,MS,2021-07-14,15,0,2021-07-14,-23.396266,-46.3175449
Brazil,SP,Aspásia/SP,3503950,35153,Jales,6,191,330.033,10506.05061,0.03141,MS,2021-07-14,1,0,2021-07-14,-20.160028,-50.728046
Brazil,SP,Assis/SP,3504008,35092,Assis,383,10927,364.45992,10398.05114,0.03505,MS,2021-07-14,33,2,2021-07-14,-22.6620892,-50.420623
Brazil,SP,Atibaia/SP,3504107,35071,Bragança,254,11234,176.28116,7796.62429,0.02261,MS,2021-07-14,12,1,2021-07-14,-23.1177393,-46.5547861
Brazil,SP,Auriflama/SP,3504206,35021,Central do DRS II,68,1950,445.81394,12784.37029,0.03487,MS,2021-07-14,6,0,2021-07-14,-20.6840418,-50.5554616
Brazil,SP,Avanhandava/SP,3504404,35023,Consórcios do DRS II,40,1045,288.62111,7540.22657,0.03828,MS,2021-07-14,14,2,2021-07-14,-21.4603331,-49.9465156
Brazil,SP,Avaré/SP,3504503,35061,Vale do Jurumirim,242,10547,265.2578,11560.63662,0.02294,MS,2021-07-14,50,1,2021-07-14,-23.1045215,-48.9259103
Brazil,SP,Avaí/SP,3504305,35062,Bauru,12,464,220.75055,8535.68801,0.02586,MS,2021-07-14,0,0,2021-07-14,-22.1564662,-49.3316395
Brazil,SP,Bady Bassitt/SP,3504602,35155,São José do Rio Preto,74,3786,416.64321,21316.36732,0.01955,MS,2021-07-14,34,0,2021-07-14,-20.9178969,-49.4517911
Brazil,SP,Balbinos/SP,3504701,35062,Bauru,4,352,67.40816,5931.91776,0.01136,MS,2021-07-14,0,0,2021-07-14,-21.9006253,-49.3583966
Brazil,SP,Bananal/SP,3504909,35172,Circuito da Fé e Vale Histórico,3,964,27.29009,8769.21677,0.00311,MS,2021-07-14,0,0,2021-07-14,-22.6828195,-44.3221095
Brazil,SP,Barbosa/SP,3505104,35023,Consórcios do DRS II,13,658,174.07606,8810.92662,0.01976,MS,2021-07-14,8,0,2021-07-14,-21.265661,-49.951816
Brazil,SP,Bariri/SP,3505203,35064,Jaú,121,2997,340.28911,8428.48304,0.04037,MS,2021-07-14,15,0,2021-07-14,-22.0746355,-48.7394852
Brazil,SP,Barra Bonita/SP,3505302,35064,Jaú,97,3391,268.50468,9386.59137,0.02861,MS,2021-07-14,16,1,2021-07-14,-22.490859,-48.558349
Brazil,SP,Barra do Chapéu/SP,3505351,35162,Itapeva,3,383,52.08333,6649.30556,0.00783,MS,2021-07-14,12,0,2021-07-14,-24.472203,-49.023784
Brazil,SP,Barra do Turvo/SP,3505401,35121,Vale do Ribeira,18,599,235.84906,7848.53249,0.03005,MS,2021-07-14,0,0,2021-07-14,-24.756421,-48.5056942
Brazil,SP,Barretos/SP,3505500,35051,Norte - Barretos,499,15885,406.24262,12932.19249,0.03141,MS,2021-07-14,121,3,2021-07-14,-20.5531437,-48.5697509
Brazil,SP,Barrinha/SP,3505609,35131,Horizonte Verde,67,1640,201.92887,4942.73659,0.04085,MS,2021-07-14,3,2,2021-07-14,-21.1898849,-48.1550642
Brazil,SP,Barueri/SP,3505708,35014,Rota dos Bandeirantes,1051,30312,379.44704,10943.67143,0.03467,MS,2021-07-14,64,7,2021-07-14,-23.5112184,-46.8764612
Brazil,SP,Barão de Antonina/SP,3505005,35061,Vale do Jurumirim,8,455,228.70212,13007.43282,0.01758,MS,2021-07-14,9,0,2021-07-14,-23.6295651,-49.5632104
Brazil,SP,Bastos/SP,3505807,35095,Tupã,37,1587,176.58569,7574.0944,0.02331,MS,2021-07-14,45,1,2021-07-14,-21.9222474,-50.7317727
Brazil,SP,Batatais/SP,3505906,35133,Vale das Cachoeiras,159,4014,252.4611,6373.45189,0.03961,MS,2021-07-14,112,1,2021-07-14,-20.892867,-47.592149
Brazil,SP,Bauru/SP,3506003,35062,Bauru,1115,48342,293.96489,12745.15749,0.02306,MS,2021-07-14,210,4,2021-07-14,-22.3218102,-49.0705863
Brazil,SP,Bebedouro/SP,3506102,35052,Sul - Barretos,158,3978,203.72639,5129.2631,0.03972,MS,2021-07-14,4,1,2021-07-14,-20.949077,-48.479083
Brazil,SP,Bento de Abreu/SP,3506201,35021,Central do DRS II,2,343,66.55574,11414.30948,0.00583,MS,2021-07-14,5,0,2021-07-14,-21.2707225,-50.8120444
Brazil,SP,Bernardino de Campos/SP,3506300,35094,Ourinhos,25,807,224.05449,7232.47894,0.03098,MS,2021-07-14,2,0,2021-07-14,-23.0140216,-49.4760724
Brazil,SP,Bertioga/SP,3506359,35041,Baixada Santista,158,5722,244.11724,8840.75213,0.02761,MS,2021-07-14,30,2,2021-07-14,-23.848568,-46.139586
Brazil,SP,Bilac/SP,3506409,35021,Central do DRS II,17,867,209.43698,10681.28619,0.01961,MS,2021-07-14,4,0,2021-07-14,-21.403962,-50.47464
Brazil,SP,Birigui/SP,3506508,35023,Consórcios do DRS II,534,15846,427.60023,12688.6766,0.0337,MS,2021-07-14,130,2,2021-07-14,-21.2908491,-50.34144
Brazil,SP,Biritiba Mirim/SP,3506607,35011,Alto do Tietê,99,1435,300.58295,4356.93466,0.06899,MS,2021-07-14,0,0,2021-07-14,-23.5697765,-46.0407456
Brazil,SP,Boa Esperança do Sul/SP,3506706,35031,Central do DRS III,18,1528,119.85617,10174.45732,0.01178,MS,2021-07-14,33,0,2021-07-14,-21.9930206,-48.3917372
Brazil,SP,Bocaina/SP,3506805,35064,Jaú,33,1278,265.01767,10263.4115,0.02582,MS,2021-07-14,4,0,2021-07-14,-22.1421831,-48.522276
Brazil,SP,Bofete/SP,3506904,35063,Polo Cuesta,15,852,125.82837,7147.05142,0.01761,MS,2021-07-14,10,0,2021-07-14,-23.1019554,-48.2610535
Brazil,SP,Boituva/SP,3507001,35163,Sorocaba,177,6238,284.70323,10033.77835,0.02837,MS,2021-07-14,14,1,2021-07-14,-23.2838893,-47.6738231
Brazil,SP,Bom Jesus dos Perdões/SP,3507100,35071,Bragança,23,2094,88.5126,8058.49529,0.01098,MS,2021-07-14,3,0,2021-07-14,-23.1353864,-46.4648052
Brazil,SP,Bom Sucesso de Itararé/SP,3507159,35162,Itapeva,6,219,150.60241,5496.98795,0.0274,MS,2021-07-14,3,0,2021-07-14,-24.3190016,-49.1446207
Brazil,SP,Boracéia/SP,3507308,35064,Jaú,22,942,451.93098,19350.86278,0.02335,MS,2021-07-14,1,0,2021-07-14,-22.195355,-48.7801925
Brazil,SP,Borborema/SP,3507407,35032,Centro Oeste do DRS III,52,1635,321.70255,10115.07053,0.0318,MS,2021-07-14,3,0,2021-07-14,-21.6212706,-49.074135
Brazil,SP,Borebi/SP,3507456,35062,Bauru,3,264,111.81513,9839.73164,0.01136,MS,2021-07-14,2,0,2021-07-14,-22.5700178,-48.9714871
Brazil,SP,Borá/SP,3507209,35092,Assis,1,125,119.33174,14916.46778,0.008,MS,2021-07-14,1,0,2021-07-14,-22.2701088,-50.544407
Brazil,SP,Botucatu/SP,3507506,35063,Polo Cuesta,282,17233,190.37332,11633.70013,0.01636,MS,2021-07-14,63,0,2021-07-14,-22.8879628,-48.4410712
Brazil,SP,Bragança Paulista/SP,3507605,35071,Bragança,488,18270,286.16162,10713.46895,0.02671,MS,2021-07-14,237,1,2021-07-14,-22.9520235,-46.5418586
Brazil,SP,Braúna/SP,3507704,35023,Consórcios do DRS II,23,598,400.62707,10416.30378,0.03846,MS,2021-07-14,1,0,2021-07-14,-21.5015319,-50.3175246
Brazil,SP,Brejo Alegre/SP,3507753,35023,Consórcios do DRS II,13,369,449.98269,12772.58567,0.03523,MS,2021-07-14,1,0,2021-07-14,-21.1671191,-50.1850393
Brazil,SP,Brodowski/SP,3507803,35133,Vale das Cachoeiras,71,2659,280.88776,10519.44455,0.0267,MS,2021-07-14,6,0,2021-07-14,-20.984532,-47.657217
Brazil,SP,Brotas/SP,3507902,35064,Jaú,50,1554,202.95503,6307.84218,0.03218,MS,2021-07-14,35,1,2021-07-14,-22.2840884,-48.1267265
Brazil,SP,Buri/SP,3508009,35162,Itapeva,80,2505,400.70123,12546.95718,0.03194,MS,2021-07-14,3,0,2021-07-14,-23.79849,-48.598924
Brazil,SP,Buritama/SP,3508108,35023,Consórcios do DRS II,66,2376,381.92234,13749.20433,0.02778,MS,2021-07-14,6,1,2021-07-14,-21.0664017,-50.1448077
Brazil,SP,Buritizal/SP,3508207,35083,Alta Mogiana,10,313,221.53301,6933.98316,0.03195,MS,2021-07-14,4,0,2021-07-14,-20.1933264,-47.7097165
Brazil,SP,Bálsamo/SP,3504800,35155,São José do Rio Preto,63,1703,689.35332,18634.4239,0.03699,MS,2021-07-14,10,0,2021-07-14,-20.7343722,-49.5807484
Brazil,SP,Cabreúva/SP,3508405,35073,Jundiaí,96,3824,190.36665,7582.93839,0.0251,MS,2021-07-14,51,0,2021-07-14,-23.3075813,-47.1324417
Brazil,SP,Cabrália Paulista/SP,3508306,35062,Bauru,7,411,164.97761,9686.54254,0.01703,MS,2021-07-14,0,0,2021-07-14,-22.4562909,-49.3385645
Brazil,SP,Cachoeira Paulista/SP,3508603,35172,Circuito da Fé e Vale Histórico,40,2479,119.11498,7382.15062,0.01614,MS,2021-07-14,15,0,2021-07-14,-22.666498,-45.015384
Brazil,SP,Caconde/SP,3508702,35143,Rio Pardo,36,1356,189.38398,7133.4631,0.02655,MS,2021-07-14,11,0,2021-07-14,-21.527995,-46.643659
Brazil,SP,Cafelândia/SP,3508801,35065,Lins,36,764,201.75979,4281.79118,0.04712,MS,2021-07-14,4,0,2021-07-14,-21.8054355,-49.6030627
Brazil,SP,Caiabu/SP,3508900,35112,Alta Sorocabana,7,295,166.94491,7035.53542,0.02373,MS,2021-07-14,8,0,2021-07-14,-22.0143038,-51.2356597
Brazil,SP,Caieiras/SP,3509007,35012,Franco da Rocha,298,8473,289.95378,8244.22282,0.03517,MS,2021-07-14,26,0,2021-07-14,-23.3644621,-46.7484765
Brazil,SP,Caiuá/SP,3509106,35114,Extremo Oeste Paulista,8,376,134.54423,6323.57888,0.02128,MS,2021-07-14,8,0,2021-07-14,-21.8319357,-51.9887179
Brazil,SP,Cajamar/SP,3509205,35012,Franco da Rocha,227,4756,291.2721,6102.59964,0.04773,MS,2021-07-14,22,0,2021-07-14,-23.3561111,-46.8769444
Brazil,SP,Cajati/SP,3509254,35121,Vale do Ribeira,100,3440,350.95108,12072.71706,0.02907,MS,2021-07-14,107,0,2021-07-14,-24.7272376,-48.1077914
Brazil,SP,Cajobi/SP,3509304,35051,Norte - Barretos,31,1014,292.56323,9569.64892,0.03057,MS,2021-07-14,0,0,2021-07-14,-20.8776238,-48.8106972
Brazil,SP,Cajuru/SP,3509403,35133,Vale das Cachoeiras,39,1839,147.76645,6967.7566,0.02121,MS,2021-07-14,8,0,2021-07-14,-21.2759978,-47.3046035
Brazil,SP,Campina do Monte Alegre/SP,3509452,35161,Itapetininga,16,566,264.15717,9344.56001,0.02827,MS,2021-07-14,1,0,2021-07-14,-23.5935653,-48.4801876
Brazil,SP,Campinas/SP,3509502,35072,Região Metropolitana de Campinas,3923,98283,323.202,8097.18634,0.03992,MS,2021-07-14,408,13,2021-07-14,-22.90556,-47.06083
Brazil,SP,Campo Limpo Paulista/SP,3509601,35073,Jundiaí,251,5280,293.42654,6172.47869,0.04754,MS,2021-07-14,49,1,2021-07-14,-23.207791,-46.788919
Brazil,SP,Campos Novos Paulista/SP,3509809,35093,Marília,10,284,200.12007,5683.41005,0.03521,MS,2021-07-14,2,0,2021-07-14,-22.601952,-49.998726
Brazil,SP,Campos do Jordão/SP,3509700,35174,Vale do Paraíba/Região Serrana,120,4985,228.98578,9512.4511,0.02407,MS,2021-07-14,19,0,2021-07-14,-22.7395263,-45.5912829
Brazil,SP,Cananéia/SP,3509908,35121,Vale do Ribeira,29,706,231.24153,5629.53512,0.04108,MS,2021-07-14,16,0,2021-07-14,-25.0104609,-47.9315628
Brazil,SP,Canas/SP,3509957,35172,Circuito da Fé e Vale Histórico,4,210,76.86395,4035.35742,0.01905,MS,2021-07-14,0,0,2021-07-14,-22.7029347,-45.0526508
Brazil,SP,Canitar/SP,3510153,35094,Ourinhos,13,837,245.65382,15816.32653,0.01553,MS,2021-07-14,5,0,2021-07-14,-23.0066616,-49.7840632
Brazil,SP,Capela do Alto/SP,3510302,35163,Sorocaba,31,1548,147.72457,7376.69764,0.02003,MS,2021-07-14,31,0,2021-07-14,-23.4704798,-47.7352309
Brazil,SP,Capivari/SP,3510401,35103,Piracicaba,90,4746,159.63391,8418.02799,0.01896,MS,2021-07-14,35,0,2021-07-14,-22.995144,-47.50715
Brazil,SP,Capão Bonito/SP,3510203,35161,Itapetininga,70,5561,148.56318,11802.28363,0.01259,MS,2021-07-14,2,0,2021-07-14,-24.0048759,-48.3489848
Brazil,SP,Caraguatatuba/SP,3510500,35173,Litoral Norte,443,16853,359.02714,13658.42984,0.02629,MS,2021-07-14,88,1,2021-07-14,-23.62028,-45.41306
Brazil,SP,Carapicuíba/SP,3510609,35014,Rota dos Bandeirantes,1033,30357,256.2112,7529.33531,0.03403,MS,2021-07-14,24,5,2021-07-14,-23.5234673,-46.8406808
Brazil,SP,Cardoso/SP,3510708,35157,Votuporanga,37,1126,299.6194,9118.14722,0.03286,MS,2021-07-14,4,0,2021-07-14,-20.080447,-49.9139767
Brazil,SP,Casa Branca/SP,3510807,35143,Rio Pardo,80,2863,262.1232,9380.73394,0.02794,MS,2021-07-14,15,0,2021-07-14,-21.7743137,-47.0852175
Brazil,SP,Castilho/SP,3511003,35022,Lagos do DRS II,76,2182,357.36117,10260.02727,0.03483,MS,2021-07-14,7,0,2021-07-14,-20.8695636,-51.4877792
Brazil,SP,Catanduva/SP,3511102,35151,Catanduva,565,13121,461.23579,10711.28273,0.04306,MS,2021-07-14,50,2,2021-07-14,-21.1331035,-48.9712817
Brazil,SP,Catiguá/SP,3511201,35151,Catanduva,30,810,381.92234,10311.90325,0.03704,MS,2021-07-14,0,0,2021-07-14,-21.0491485,-49.0578923
Brazil,SP,Caçapava/SP,3508504,35171,Alto Vale do Paraíba,261,8393,274.6848,8833.06321,0.0311,MS,2021-07-14,25,1,2021-07-14,-23.099204,-45.707645
Brazil,SP,Cedral/SP,3511300,35155,São José do Rio Preto,27,1186,288.89364,12689.92082,0.02277,MS,2021-07-14,3,0,2021-07-14,-20.9028433,-49.2699665
Brazil,SP,Cerqueira César/SP,3511409,35061,Vale do Jurumirim,43,2013,212.96617,9969.78852,0.02136,MS,2021-07-14,40,1,2021-07-14,-23.0353135,-49.1650519
Brazil,SP,Cerquilho/SP,3511508,35161,Itapetininga,127,5910,255.00984,11866.99329,0.02149,MS,2021-07-14,31,1,2021-07-14,-23.1626556,-47.7433878
Brazil,SP,Cesário Lange/SP,3511607,35161,Itapetininga,61,2109,331.97279,11477.55102,0.02892,MS,2021-07-14,1,0,2021-07-14,-23.226035,-47.954453
Brazil,SP,Charqueada/SP,3511706,35103,Piracicaba,42,1257,241.83797,7237.86492,0.03341,MS,2021-07-14,0,0,2021-07-14,-22.50958,-47.775468
Brazil,SP,Chavantes/SP,3557204,35094,Ourinhos,37,988,297.95458,7956.19262,0.03745,MS,2021-07-14,10,0,2021-07-14,-23.0406405,-49.7071698
Brazil,SP,Clementina/SP,3511904,35023,Consórcios do DRS II,15,914,171.29154,10437.36439,0.01641,MS,2021-07-14,1,0,2021-07-14,-21.5594631,-50.448624
Brazil,SP,Colina/SP,3512001,35051,Norte - Barretos,48,1315,258.96952,7094.68573,0.0365,MS,2021-07-14,3,0,2021-07-14,-20.711443,-48.53867
Brazil,SP,Colômbia/SP,3512100,35051,Norte - Barretos,12,608,193.05019,9781.20978,0.01974,MS,2021-07-14,6,0,2021-07-14,-20.1774291,-48.6872822
Brazil,SP,Conchal/SP,3512209,35101,Araras,68,2617,240.51215,9256.18081,0.02598,MS,2021-07-14,18,1,2021-07-14,-22.337512,-47.172927
Brazil,SP,Conchas/SP,3512308,35063,Polo Cuesta,63,2188,349.63095,12142.73822,0.02879,MS,2021-07-14,0,1,2021-07-14,-23.0133538,-48.0077595
Brazil,SP,Cordeirópolis/SP,3512407,35102,Limeira,88,5321,354.46709,21433.1749,0.01654,MS,2021-07-14,52,0,2021-07-14,-22.4768324,-47.4550551
Brazil,SP,Coroados/SP,3512506,35023,Consórcios do DRS II,16,644,261.05401,10507.42372,0.02484,MS,2021-07-14,1,0,2021-07-14,-21.3554634,-50.2853589
Brazil,SP,Coronel Macedo/SP,3512605,35061,Vale do Jurumirim,20,544,431.49946,11736.78533,0.03676,MS,2021-07-14,0,0,2021-07-14,-23.6304001,-49.313234
Brazil,SP,Corumbataí/SP,3512704,35104,Rio Claro,7,390,172.24409,9596.45669,0.01795,MS,2021-07-14,1,0,2021-07-14,-22.2210521,-47.6249638
Brazil,SP,Cosmorama/SP,3512902,35157,Votuporanga,36,646,493.28583,8851.7402,0.05573,MS,2021-07-14,0,0,2021-07-14,-20.475472,-49.782747
Brazil,SP,Cosmópolis/SP,3512803,35072,Região Metropolitana de Campinas,164,7121,223.20821,9691.86379,0.02303,MS,2021-07-14,56,0,2021-07-14,-22.6437398,-47.1972086
Brazil,SP,Cotia/SP,3513009,35013,Mananciais,561,14038,221.20753,5535.31434,0.03996,MS,2021-07-14,27,0,2021-07-14,-23.603889,-46.918889
Brazil,SP,Cravinhos/SP,3513108,35132,Aquífero Guarani,89,1987,250.14756,5584.75505,0.04479,MS,2021-07-14,17,0,2021-07-14,-21.340278,-47.729444
Brazil,SP,Cristais Paulista/SP,3513207,35081,Três Colinas,11,1112,126.17573,12755.21909,0.00989,MS,2021-07-14,0,0,2021-07-14,-20.403569,-47.420915
Brazil,SP,Cruzeiro/SP,3513405,35172,Circuito da Fé e Vale Histórico,79,5931,95.67524,7182.90925,0.01332,MS,2021-07-14,5,0,2021-07-14,-22.5783685,-44.9642044
Brazil,SP,Cruzália/SP,3513306,35092,Assis,4,158,195.50342,7722.38514,0.02532,MS,2021-07-14,1,0,2021-07-14,-22.7434438,-50.7911037
Brazil,SP,Cubatão/SP,3513504,35041,Baixada Santista,440,12770,334.28046,9701.73066,0.03446,MS,2021-07-14,4,1,2021-07-14,-23.8857982,-46.4241869
Brazil,SP,Cunha/SP,3513603,35172,Circuito da Fé e Vale Histórico,10,836,46.60049,3895.8013,0.01196,MS,2021-07-14,3,0,2021-07-14,-23.07753,-44.9567436
Brazil,SP,Cássia dos Coqueiros/SP,3510906,35133,Vale das Cachoeiras,1,244,39.92016,9740.51896,0.0041,MS,2021-07-14,0,0,2021-07-14,-21.280082,-47.164327
Brazil,SP,Cândido Mota/SP,3510005,35092,Assis,147,4195,468.95936,13382.88777,0.03504,MS,2021-07-14,15,0,2021-07-14,-22.7434964,-50.38924
Brazil,SP,Cândido Rodrigues/SP,3510104,35033,Norte do DRS III,7,134,250.08932,4787.42408,0.05224,MS,2021-07-14,0,0,2021-07-14,-21.3255615,-48.6308798
Brazil,SP,Descalvado/SP,3513702,35034,Coração do DRS III,68,3568,200.53082,10521.96992,0.01906,MS,2021-07-14,15,0,2021-07-14,-21.9090404,-47.6203241
Brazil,SP,Diadema/SP,3513801,35015,Grande ABC,1201,24569,281.42479,5757.14048,0.04888,MS,2021-07-14,54,2,2021-07-14,-23.681347,-46.62052
Brazil,SP,Dirce Reis/SP,3513850,35153,Jales,3,161,166.75931,8949.41634,0.01863,MS,2021-07-14,0,0,2021-07-14,-20.4664067,-50.606276
Brazil,SP,Divinolândia/SP,3513900,35143,Rio Pardo,47,1290,423.95815,11636.29803,0.03643,MS,2021-07-14,5,0,2021-07-14,-21.6604584,-46.7371151
Brazil,SP,Dobrada/SP,3514007,35033,Norte do DRS III,8,577,88.79023,6403.99556,0.01386,MS,2021-07-14,4,0,2021-07-14,-21.5180904,-48.3938897
Brazil,SP,Dois Córregos/SP,3514106,35064,Jaú,39,1580,141.75632,5742.94853,0.02468,MS,2021-07-14,5,0,2021-07-14,-22.3697554,-48.3845315
Brazil,SP,Dolcinópolis/SP,3514205,35153,Jales,6,207,284.09091,9801.13636,0.02899,MS,2021-07-14,0,0,2021-07-14,-20.1230736,-50.513261
Brazil,SP,Dourado/SP,3514304,35034,Coração do DRS III,17,835,191.48457,9405.27146,0.02036,MS,2021-07-14,6,0,2021-07-14,-22.1124638,-48.3151079
Brazil,SP,Dracena/SP,3514403,35111,Alta Paulista,239,5238,508.04583,11134.49397,0.04563,MS,2021-07-14,56,0,2021-07-14,-21.4835523,-51.5334408
Brazil,SP,Duartina/SP,3514502,35062,Bauru,25,966,201.07778,7769.6453,0.02588,MS,2021-07-14,6,0,2021-07-14,-22.414562,-49.408355
